City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
3,Hay River,CA,82.45,clear sky,60.82,-115.8,Ptarmigan Inn
10,Elhovo,BG,86.14,few clouds,42.17,26.57,Slavey Homestay
14,Acarau,BR,77.45,clear sky,-2.89,-40.12,castelo pizzaria
15,Hithadhoo,MV,81.68,overcast clouds,-0.6,73.08,Scoop Guest House
16,Alofi,NU,76.89,scattered clouds,-19.06,-169.92,Taloa Heights
19,Celestun,MX,86.25,few clouds,20.87,-90.4,Posada Lilia
20,Kavieng,PG,82.67,light rain,-2.57,150.8,Nusa Island Retreat
23,Tecoanapa,MX,87.42,scattered clouds,16.52,-98.75,Hotel Manglares
27,Georgetown,MY,80.89,few clouds,5.41,100.34,Cititel Penang
33,Butaritari,KI,82.9,scattered clouds,3.07,172.79,Isles Sunset Lodge
40,Bac Lieu,VN,79.2,overcast clouds,9.29,105.72,Khách sạn Sài Gòn Bạc Liêu
42,Grajau,BR,81.07,clear sky,-5.82,-46.14,Hotel Confiança
44,Lorengau,PG,82.17,few clouds,-2.02,147.27,Lorengau Harbourside Hotel
47,Atuona,PF,77.58,few clouds,-9.8,-139.03,Villa Enata
51,Banjar,ID,76.86,scattered clouds,-8.19,114.97,The Hamsa Resort
55,Kapaa,US,84.52,few clouds,22.08,-159.32,Sheraton Kauai Coconut Beach Resort
56,Sao Filipe,CV,76.78,scattered clouds,14.9,-24.5,Hotel Xaguate
64,Cayenne,GF,83.08,scattered clouds,4.93,-52.33,Hôtel Le Dronmi
67,Kokopo,PG,79.52,few clouds,-4.35,152.26,Kokopo Beach Bungalow Resort
72,Vila Do Maio,CV,79.59,broken clouds,15.13,-23.22,Hotel Marilu
79,Hoa Binh,VN,80.49,overcast clouds,20.81,105.34,Hoa Dao Hotel
81,Bubaque,GW,79.27,overcast clouds,11.28,-15.83,"Casa Dora, Bubaque"
82,Cururupu,BR,75.72,broken clouds,-1.83,-44.87,POUSADA TRAVÉS'CIA
83,Samarai,PG,79.18,broken clouds,-10.62,150.67,Nuli Sapi
87,Becerril,CO,86.16,overcast clouds,9.7,-73.28,Hotel Carlington
89,Bethel,US,80.73,broken clouds,41.37,-73.41,Courtyard by Marriott Danbury
