City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Xiaoweizhai,CN,26.19,107.51,71.71,75,2,3.53,clear sky
1,Pevek,RU,69.70,170.31,35.04,81,100,19.08,overcast clouds
2,Castro,BR,-24.79,-50.01,51.66,82,0,1.57,clear sky
3,Hay River,CA,60.82,-115.80,82.45,33,0,5.55,clear sky
4,Poum,NC,-20.23,164.02,68.4,64,9,9.33,clear sky
5,Merauke,ID,-8.47,140.33,74.07,80,61,11.32,broken clouds
6,Cherskiy,RU,68.75,161.30,42.42,57,89,15.93,overcast clouds
7,Jamestown,US,42.10,-79.24,71.29,45,20,5.75,few clouds
8,Aranos,NA,-24.13,19.12,56.01,28,0,12.08,clear sky
9,Bluff,NZ,-46.60,168.33,44.8,68,93,9.13,overcast clouds
10,Elhovo,BG,42.17,26.57,86.14,40,14,1.99,few clouds
11,Busselton,AU,-33.65,115.33,54.19,76,100,7.23,overcast clouds
12,Hobart,AU,-42.88,147.33,43.27,89,75,6.91,broken clouds
13,Barrow,US,71.29,-156.79,44.62,81,90,20.71,overcast clouds
14,Acarau,BR,-2.89,-40.12,77.45,74,8,7.78,clear sky
15,Hithadhoo,MV,-0.60,73.08,81.68,69,100,5.19,overcast clouds
16,Alofi,NU,-19.06,-169.92,76.89,73,40,11.5,scattered clouds
17,Dikson,RU,73.51,80.55,50.41,81,81,9.91,broken clouds
18,Pisco,PE,-13.70,-76.22,65.01,77,0,10.36,clear sky
19,Celestun,MX,20.87,-90.40,86.25,68,23,16.89,few clouds
20,Kavieng,PG,-2.57,150.80,82.67,78,28,10.56,light rain
21,Alice Springs,AU,-23.70,133.88,40.55,48,0,4.61,clear sky
22,Petropavlovka,RU,50.61,105.32,57.49,90,100,4.81,moderate rain
23,Tecoanapa,MX,16.52,-98.75,87.42,64,41,10.04,scattered clouds
24,Pittsburg,US,38.03,-121.88,92.46,30,1,4.0,clear sky
25,Taoudenni,ML,22.68,-3.98,94.44,32,99,22.03,overcast clouds
26,Hermanus,ZA,-34.42,19.23,56.89,89,3,9.75,clear sky
27,Georgetown,MY,5.41,100.34,80.89,88,20,3.44,few clouds
28,Saint-Philippe,RE,-21.36,55.77,66.22,67,11,0.51,few clouds
29,Khatanga,RU,71.97,102.50,64.98,62,75,9.62,broken clouds
30,Tuatapere,NZ,-46.13,167.68,44.82,82,99,4.27,overcast clouds
31,Srednekolymsk,RU,67.45,153.68,47.19,54,80,10.18,broken clouds
32,Talcahuano,CL,-36.72,-73.12,62.28,63,0,11.5,clear sky
33,Butaritari,KI,3.07,172.79,82.9,71,35,4.99,scattered clouds
34,Yellowknife,CA,62.46,-114.35,90.12,25,75,9.22,smoke
35,Ratnapura,LK,6.68,80.40,73.76,96,100,3.13,moderate rain
36,Ribeira Grande,PT,38.52,-28.70,73.31,92,48,7.4,scattered clouds
37,Port Elizabeth,ZA,-33.92,25.57,57.49,82,75,12.66,broken clouds
38,Punta Arenas,CL,-53.15,-70.92,41.02,81,40,29.93,light intensity shower rain
39,Yinchuan,CN,38.47,106.27,73.83,51,100,1.25,light rain
40,Bac Lieu,VN,9.29,105.72,79.2,85,97,9.62,overcast clouds
41,Golpayegan,IR,33.45,50.29,73.56,28,80,2.51,broken clouds
42,Grajau,BR,-5.82,-46.14,81.07,28,5,4.05,clear sky
43,Sao Joao Da Barra,BR,-21.64,-41.05,69.89,76,0,11.43,clear sky
44,Lorengau,PG,-2.02,147.27,82.17,80,18,8.86,few clouds
45,Makurdi,NG,7.74,8.51,73.53,95,100,4.41,light rain
46,Olafsvik,IS,64.89,-23.71,53.11,81,100,4.56,overcast clouds
47,Atuona,PF,-9.80,-139.03,77.58,76,22,19.01,few clouds
48,Qaqortoq,GL,60.72,-46.03,54.1,92,92,7.2,overcast clouds
49,Eureka,US,40.80,-124.16,70.2,71,42,4.0,scattered clouds
50,Camacha,PT,33.08,-16.33,69.53,73,40,10.36,scattered clouds
51,Banjar,ID,-8.19,114.97,76.86,91,28,5.5,scattered clouds
52,Chokurdakh,RU,70.63,147.92,47.68,52,63,8.19,broken clouds
53,Paranaiba,BR,-19.68,-51.19,73.11,38,9,7.27,clear sky
54,Mar Del Plata,AR,-38.00,-57.56,55.09,58,0,7.0,clear sky
55,Kapaa,US,22.08,-159.32,84.52,75,20,8.01,few clouds
56,Sao Filipe,CV,14.90,-24.50,76.78,82,32,5.28,scattered clouds
57,Vaini,TO,-21.20,-175.20,73.56,73,40,12.66,scattered clouds
58,San Patricio,US,28.02,-97.52,97.52,43,39,11.83,scattered clouds
59,Nikolskoye,RU,59.70,30.79,63.39,99,100,8.88,moderate rain
60,Kodiak,US,57.79,-152.41,54.91,82,90,6.91,overcast clouds
61,Aviles,ES,43.55,-5.92,65.59,82,40,0.0,scattered clouds
62,Torbay,CA,47.67,-52.73,67.75,67,90,8.05,overcast clouds
63,Marolambo,MG,-20.05,48.12,57.58,96,10,2.82,clear sky
64,Cayenne,GF,4.93,-52.33,83.08,79,44,1.01,scattered clouds
65,Warrnambool,AU,-38.38,142.48,44.82,84,75,13.13,light rain
66,Upernavik,GL,72.79,-56.15,47.19,66,26,1.83,scattered clouds
67,Kokopo,PG,-4.35,152.26,79.52,82,23,6.13,few clouds
68,Bredasdorp,ZA,-34.53,20.04,56.28,93,18,3.44,few clouds
69,Maragogi,BR,-9.01,-35.22,73.18,88,27,11.65,scattered clouds
70,Severo-Kurilsk,RU,50.68,156.12,51.21,77,97,20.36,overcast clouds
71,New Norfolk,AU,-42.78,147.06,42.91,81,100,2.66,light rain
72,Vila Do Maio,CV,15.13,-23.22,79.59,78,73,6.08,broken clouds
73,Chipiona,ES,36.74,-6.44,73.31,88,0,5.75,clear sky
74,Ushuaia,AR,-54.80,-68.30,42.46,61,75,3.44,moderate rain
75,Airai,TL,-8.93,125.41,55.47,81,71,3.38,broken clouds
76,Piacabucu,BR,-10.41,-36.43,72.77,85,19,10.51,few clouds
77,Monki,PL,53.41,22.80,57.67,81,100,7.11,overcast clouds
78,Rikitea,PF,-23.12,-134.97,69.06,57,83,21.63,broken clouds
79,Hoa Binh,VN,20.81,105.34,80.49,89,94,3.2,overcast clouds
80,Mataura,NZ,-46.19,168.86,44.47,95,100,2.28,overcast clouds
81,Bubaque,GW,11.28,-15.83,79.27,82,98,18.72,overcast clouds
82,Cururupu,BR,-1.83,-44.87,75.72,77,64,2.95,broken clouds
83,Samarai,PG,-10.62,150.67,79.18,78,77,13.94,broken clouds
84,Port Hardy,CA,50.70,-127.42,64.58,68,75,5.75,broken clouds
85,Dekar,BW,-21.53,21.93,55.4,30,0,6.2,clear sky
86,Baykit,RU,61.67,96.37,59.83,75,100,4.23,overcast clouds
87,Becerril,CO,9.70,-73.28,86.16,67,97,3.33,overcast clouds
88,Vrangel,RU,42.73,133.08,69.64,94,94,10.33,overcast clouds
89,Bethel,US,41.37,-73.41,80.73,54,75,10.36,broken clouds
90,Cape Town,ZA,-33.93,18.42,57.11,92,0,2.3,fog
91,Mahebourg,MU,-20.41,57.70,59.29,88,20,8.05,few clouds
92,Stornoway,GB,58.21,-6.39,57.16,72,90,3.44,overcast clouds
93,Kathmandu,NP,27.72,85.32,71.82,100,75,2.3,broken clouds
