City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Saint-Joseph,RE,2021-08-02 14:07:10,-21.3667,55.6167,71.98,77,39,6.38
1,Qaanaaq,GL,2021-08-02 14:07:10,77.484,-69.3632,43.72,69,100,7.25
2,Rikitea,PF,2021-08-02 14:05:09,-23.1203,-134.9692,68.95,54,99,22.55
3,Saint-Philippe,RE,2021-08-02 14:07:11,-21.3585,55.7679,72.99,76,54,8.59
4,Pangnirtung,CA,2021-08-02 14:07:11,66.1451,-65.7125,51.85,76,100,4.79
5,Khash,IR,2021-08-02 14:07:11,28.2211,61.2158,94.39,9,49,13.33
6,Hofn,IS,2021-08-02 14:07:12,64.2539,-15.2082,54.03,90,100,10.69
7,Mae Ramat,TH,2021-08-02 14:07:12,16.984,98.5166,74.17,100,100,2.51
8,Carnarvon,AU,2021-08-02 14:04:49,-24.8667,113.6333,50.07,38,0,10.36
9,Ushuaia,AR,2021-08-02 14:02:45,-54.8,-68.3,36.1,86,40,7.14
10,Atuona,PF,2021-08-02 14:07:13,-9.8,-139.0333,77.09,73,47,14.47
11,Hobart,AU,2021-08-02 14:02:35,-42.8794,147.3294,48.25,78,0,1.99
12,Mehamn,NO,2021-08-02 14:07:13,71.0357,27.8492,57.15,51,20,3.44
13,Cabo San Lucas,MX,2021-08-02 14:07:14,22.8909,-109.9124,87.51,55,43,7.76
14,Puerto Ayora,EC,2021-08-02 14:07:14,-0.7393,-90.3518,72.18,84,100,9.44
15,Willowick,US,2021-08-02 14:07:15,41.6331,-81.4687,73.08,72,40,5.01
16,Vaini,TO,2021-08-02 14:07:15,-21.2,-175.2,68.16,77,20,10.36
17,Lavrentiya,RU,2021-08-02 14:07:15,65.5833,-171.0,42.48,96,100,13.91
18,Najran,SA,2021-08-02 14:07:16,17.4924,44.1277,92.37,24,100,12.62
19,Longyearbyen,SJ,2021-08-02 14:07:16,78.2186,15.6401,48.04,71,75,16.11
20,Hilo,US,2021-08-02 14:07:17,19.7297,-155.09,71.8,87,90,3.44
21,Kachiry,KZ,2021-08-02 14:07:17,53.0675,76.1036,79.5,39,99,11.54
22,Alofi,NU,2021-08-02 14:07:17,-19.0595,-169.9187,74.82,71,73,16.89
23,Sioux Lookout,CA,2021-08-02 14:07:18,50.1001,-91.917,69.76,44,13,8.12
24,Torbay,CA,2021-08-02 14:07:18,47.6666,-52.7314,73.76,56,16,6.31
25,Komsomolskiy,UZ,2021-08-02 14:07:19,40.4272,71.7189,88.52,27,100,9.22
26,Bengkulu,ID,2021-08-02 14:07:19,-3.8004,102.2655,76.77,87,33,3.06
27,Nikolskoye,RU,2021-08-02 14:07:19,59.7035,30.7861,62.49,98,100,9.42
28,Ponta Do Sol,PT,2021-08-02 14:07:20,32.6667,-17.1,83.01,70,14,2.95
